Run _x000D_,VwNoi _x000D_,Sample# _x000D_,"P, J!./cca _x000D_","P, g/ccb _x000D_",0API _x000D_,"Âµ, cpc _x000D_"
B07 _x000D_,,1-4 _x000D_,,,,3.52 _x000D_
,,5-9 _x000D_,,,,6.02 _x000D_
B08 _x000D_,0.822 _x000D_,1-4 _x000D_,0.8626 _x000D_,0.86 _x000D_,31.5 _x000D_,3.1 _x000D_
,2.199 _x000D_,5-9 _x000D_,0.8773 _x000D_,0.876 _x000D_,28.8 _x000D_,5.12 _x000D_
,4.599 _x000D_,10-15 _x000D_,0.8862 _x000D_,0.888 _x000D_,27.0 _x000D_,7.79 _x000D_
B09 _x000D_,0.2 _x000D_,1 _x000D_,0.8588 _x000D_,0.856 _x000D_,32.4 _x000D_,
,0.4 _x000D_,2 _x000D_,0.8707 _x000D_,0.868 _x000D_,30.2 _x000D_,
,0.6 _x000D_,3 _x000D_,0.8779 _x000D_,0.876 _x000D_,28.9 _x000D_,
,0.8 _x000D_,4 _x000D_,0.8832 _x000D_,0.884 _x000D_,27.6 _x000D_,5.12 _x000D_
,1 _x000D_,5 _x000D_,_d _x000D_,0.888 _x000D_,26.8 _x000D_,5.63 _x000D_
,1.3 _x000D_,6 _x000D_,0.892 _x000D_,0.892 _x000D_,26.1 _x000D_,6.66 _x000D_
,1.6 _x000D_,7 _x000D_,0.8967 _x000D_,0.896 _x000D_,25.3 _x000D_,7.68 _x000D_
,1.883 _x000D_,8 _x000D_,0.8993 _x000D_,0.9 _x000D_,24.8 _x000D_,7.17 _x000D_
,2.183 _x000D_,9 _x000D_,0.9024 _x000D_,0.9 _x000D_,24.5 _x000D_,10.24 _x000D_
,2.483 _x000D_,10 _x000D_,0.9047 _x000D_,0.904 _x000D_,24.0 _x000D_,12.29 _x000D_
,2.783 _x000D_,11 _x000D_,0.9074 _x000D_,0.908 _x000D_,23.4 _x000D_,11.26 _x000D_
,3.083 _x000D_,12 _x000D_,0.9093 _x000D_,0.908 _x000D_,23.2 _x000D_,13.06 _x000D_
,3.543 _x000D_,13 _x000D_,0.9117 _x000D_,0.912 _x000D_,22.7 _x000D_,15.36 _x000D_
Bl0 _x000D_,0.2 _x000D_,1 _x000D_,0.862 _x000D_,0.86 _x000D_,31.7 _x000D_,
,0.4 _x000D_,2 _x000D_,0.8615 _x000D_,0.868 _x000D_,31.0 _x000D_,
,0.6 _x000D_,3 _x000D_,0.8743 _x000D_,0.872 _x000D_,29.5 _x000D_,
,1 _x000D_,4 _x000D_,0.8817 _x000D_,0.88 _x000D_,28.1 _x000D_,
,1.4 _x000D_,5 _x000D_,_d _x000D_,_d _x000D_,,
,1.8 _x000D_,6 _x000D_,0.8884 _x000D_,0.888 _x000D_,26.8 _x000D_,
,2.2 _x000D_,7 _x000D_,0.8953 _x000D_,0.896 _x000D_,25.5 _x000D_,
,2.6 _x000D_,8 _x000D_,0.8964 _x000D_,0.896 _x000D_,25.4 _x000D_,8.7 _x000D_
,3 _x000D_,9 _x000D_,0.899 _x000D_,0.9 _x000D_,24.8 _x000D_,10.24 _x000D_
,3.4 _x000D_,10 _x000D_,_d _x000D_,0.9 _x000D_,24.7 _x000D_,
,3.8 _x000D_,11 _x000D_,0.905 _x000D_,0.904 _x000D_,23.9 _x000D_,11.26 _x000D_
B04 _x000D_,0.102 _x000D_,1 _x000D_,_c _x000D_,_c _x000D_,,
,0.202 _x000D_,2 _x000D_,0.8657 _x000D_,0.864 _x000D_,32.3 _x000D_,
,0.302 _x000D_,3 _x000D_,_c _x000D_,0.876 _x000D_,30.0 _x000D_,
,0.402 _x000D_,4 _x000D_,0.8837 _x000D_,0.884 _x000D_,28.6 _x000D_,
,0.602 _x000D_,5 _x000D_,0.8955 _x000D_,0.896 _x000D_,26.4 _x000D_,
,0.803 _x000D_,6 _x000D_,0.896 _x000D_,0.896 _x000D_,26.4 _x000D_,
